text,size
bright,100
lights,100
hovering,100
sky,100
UFO,97
red,95
white,93
object,90
moving,90
orange,88
flying,85
sound,81
east,77
slowly,76
craft,76
seen,73
low,73
one,72
come,72
came,69
direction,69
orbs,66
triangle,66
hoak,66
south,66
like,61
green,57
large,52
note,50
saw,50
aircraft,44
quickly,40
big,40
star,40
clear,35
faded,33
around,33
near,33
ball,33
just,32
trail,32
tails,31
left,25
trees,25
feet,25
came,23
spot,23
texas,23
city,21
door,20
first,20
bluish,20
four,15
sight,14
back,13
shapes,12
fast,10
lens,10
ok,9
san,9
lots,9
tell,8
flew,8
river,8
heard,7
line,7
air,6
az,4
