,Date,Time,City,State,Shape,Duration
1,2/19/15,23:00:00,St. Petersrburg,FL,Other,420
2,2/19/15,21:00:00,Reno,NV,Rectangle,<1
3,2/19/15,19:00:00,South Bend,IN,Light,<1
4,2/19/15,15:00:00,Tulsa,OK,,
5,2/19/15,13:00:00,Winnipeg (near)(Canada),MB,Circle,
6,2/19/15,11:55:00,Arlington,OR,Disk,<1
7,2/19/15,9:40:00,Walburg,TX,Cigar,1
8,2/18/15,22:30:00,Homestead,FL,Circle,15
9,2/18/15,22:20:00,Short Pump,VA,Triangle,<1
10,2/18/15,22:19:00,Robbinsville,NJ,Other,<1
11,2/18/15,21:28:00,Parksville,BC,Light,5
12,2/18/15,21:00:00,Hopelawn,NJ,Formation,3
13,2/18/15,19:21:00,Phoenix,AZ,Fireball,5
14,2/18/15,18:15:00,Orlando,FL,Unknown,8
15,2/18/15,18:00:00,Reno/Sun Valley,NV,Light,30
16,2/18/15,12:13:00,Tempe,AZ,Teardrop,3
17,2/18/15,11:45:00,Helotes,TX,Chevron,<1
18,2/18/15,1:30:00,Frost,TX,Light,180
19,2/17/15,23:30:00,Somerset,PA,Formation,20
20,2/17/15,21:00:00,Albuquerque,NM,Triangle,1
21,2/17/15,20:33:00,Kent,WA,Circle,<1
22,2/17/15,20:30:00,Maple Ridge (Canada),BC,Light,10
23,2/17/15,19:45:00,Jackson Heights,NY,Sphere,5
24,2/17/15,19:30:00,Gallipolis,OH,Formation,2
25,2/17/15,19:20:00,Skamokawa,WA,Sphere,35
26,2/17/15,8:00:00,Danville,NH,Triangle,3
27,2/17/15,6:07:00,St. Petersburg,FL,Circle,<1
28,2/17/15,6:00:00,River Denys (Canada),NS,,1
29,2/16/15,22:30:00,Over Mt. Shasta,CA,Unknown,1
30,2/16/15,21:00:00,Greenback,TN,Light,2
31,2/16/15,17:44:00,Mt. Hood (Parkdale),OR,Other,
32,2/16/15,2:45:00,Tomahawk,WV,Egg,<1
33,2/15/15,22:00:00,Marina del Rey,CA,Light,10
34,2/15/15,21:50:00,Ft. Lauderdale,FL,Sphere,1
35,2/15/15,20:00:00,Raymond,WA,Triangle,1
36,2/15/15,19:00:00,Hillsboro,OR,Triangle,2
37,2/15/15,18:56:00,Hillsboro,OR,Light,1
38,2/15/15,18:45:00,Portland,OR,Formation,20
39,2/15/15,18:30:00,High Point,NC,Teardrop,20
40,2/15/15,16:30:00,Redmond,WA,Light,<1
41,2/15/15,11:00:00,Jupiter,FL,Sphere,50
42,2/15/15,2:30:00,Ste-Brigitte de Laval (Canada),QC,Flash,10
43,2/14/15,20:15:00,Marietta,GA,Fireball,5
44,2/14/15,19:18:00,Winter Garden,FL,Sphere,2
45,2/14/15,19:00:00,Sequim,WA,Light,5
46,2/14/15,18:47:00,Coos Bay,OR,Light,4
47,2/14/15,18:30:00,Friendsville,TN,Light,2
48,2/14/15,15:00:00,Las Vegas,NE,,2
49,2/14/15,3:45:00,St. Petersburg,FL,Diamond,
50,2/13/15,20:50:00,Eagle,ID,Disk,5
51,2/13/15,19:15:00,Maryville,TN,Formation,2
52,2/13/15,19:00:00,Norwalk,CT,Disk,20
53,2/13/15,16:33:00,Guilderland,NY,Sphere,<1
54,2/13/15,0:30:00,Portland,OR,Circle,<1
55,2/12/15,23:40:00,Preston,WA,Chevron,1
56,2/12/15,23:00:00,Omaha,NE,Triangle,5
57,2/12/15,20:15:00,Charleston,SC,Light,30
58,2/12/15,20:05:00,Fort Collins,CO,Triangle,<1
59,2/12/15,20:00:00,East Haven,CT,Light,60
60,2/12/15,18:50:00,Durham,NC,Unknown,5
61,2/12/15,18:45:00,Fort Collins,CO,Fireball,10
62,2/12/15,16:11:00,Magnolia,AR,Sphere,1
63,2/12/15,6:00:00,Miami,FL,Changing,3
64,2/12/15,1:30:00,Bountiful,UT,Light,3
65,2/11/15,23:00:00,Santa Clarita,CA,Light,<1
66,2/11/15,22:30:00,Old Fort,NC,Light,5
67,2/11/15,22:00:00,Lake Wylie,SC,Light,
68,2/11/15,21:30:00,Phoenix,AZ,Sphere,5
69,2/11/15,20:30:00,Bolivia,NC,Light,<1
70,2/11/15,20:00:00,Sun City,AZ,Changing,15
71,2/11/15,19:30:00,Buckeye,AZ,Light,60
72,2/11/15,19:15:00,Walker,LA,Triangle,10
73,2/11/15,18:05:00,Montreal,MO,Other,1.5
74,2/11/15,18:00:00,Portsmouth,VA,Light,
75,2/11/15,18:00:00,Quinby,VA,Light,1
76,2/11/15,17:05:00,Stuart,FL,Fireball,<1
77,2/11/15,16:40:00,Punta Gorda,FL,Circle,<1
78,2/11/15,2:30:00,Port Orchard,WA,,30
79,2/11/15,2:30:00,Port Orchard,WA,Unknown,30
80,2/10/15,19:10:00,Las Vegas,NV,Formation,10
81,2/10/15,18:00:00,Fortuna,CA,Circle,20
82,2/10/15,18:00:00,Las Vegas,NV,Other,<1
83,2/10/15,16:30:00,Midland,TX,Disk,<1
84,2/10/15,14:18:00,Huntington,WV,Other,<1
85,2/10/15,7:35:00,Simpsonville,SC,Cigar,1
86,2/9/15,21:50:00,Bartlett,IL,Cross,1
87,2/9/15,21:21:00,Appleton,WI,,3
88,2/9/15,20:20:00,"Washington, DC",DC,Changing,40
89,2/9/15,20:00:00,Magna,UT,Triangle,2
90,2/9/15,7:58:00,Bristow,OK,Formation,
91,2/9/15,6:48:00,Homstead,FL,Unknown,3
92,2/8/15,22:40:00,Orlando,FL,Unknown,3
93,2/8/15,22:00:00,Fresno,CA,Triangle,2
94,2/8/15,22:00:00,Wesley Chapel,FL,Other,20
95,2/8/15,20:30:00,Las Vegas,NV,Light,<1
96,2/8/15,20:00:00,Cape Coral,FL,Triangle,15
97,2/8/15,19:38:00,Riverview,FL,,5
98,2/8/15,19:00:00,Cape Coral,FL,Circle,5
99,2/8/15,18:40:00,Sherwood,OR,Flash,5
100,2/8/15,18:40:00,Marina del Rey,CA,Light,1
101,2/8/15,18:00:00,Roswell,GA,Other,2
102,2/8/15,17:00:00,Montrose,CO,Changing,65
103,2/8/15,1:00:00,Scottsdale,AZ,Diamond,<1
104,2/8/15,0:45:00,Hollywood,FL,Circle,<1
105,2/8/15,0:30:00,Tarentum,PA,Formation,<1
106,2/8/15,0:30:00,Hollywood,FL,Other,<1
107,2/7/15,23:35:00,Natrona Heights,PA,Light,1
108,2/7/15,23:23:00,Herndon,VA,Formation,1
109,2/7/15,23:15:00,Antioch,CA,Circle,15
110,2/7/15,21:00:00,Dayton,OH,Sphere,5
111,2/7/15,20:00:00,Columbus (New Albany),OH,Sphere,<1
112,2/7/15,19:00:00,Lamar,CO,Sphere,10
113,2/7/15,18:20:00,Salt Lake City,UT,Fireball,2
114,2/7/15,4:00:00,Salem,VA,Triangle,1
115,2/7/15,2:41:00,Novato,CA,Sphere,40
116,2/7/15,1:00:00,Munford,TN,Triangle,5
117,2/6/15,22:30:00,Trucksville,PA,Sphere,5
118,2/6/15,22:03:00,Cerritos,CA,Light,2
119,2/6/15,21:30:00,I 24 80 to 74 mile marker,KY,Oval,5
120,2/6/15,21:15:00,Fox River Grove,IL,Sphere,5
121,2/6/15,21:00:00,Cinnaminson,NJ,Fireball,5
122,2/6/15,21:00:00,Carthage,MO,Fireball,2
123,2/6/15,19:15:00,New Orleans,LA,Fireball,5
124,2/6/15,19:00:00,Oloh,MS,Unknown,5
125,2/6/15,18:20:00,Lake Elsinore,CA,Teardrop,<1
126,2/6/15,18:00:00,Durham,NH,Other,<1
127,2/6/15,18:00:00,San Diego,CA,Light,<1
128,2/6/15,16:00:00,North Canton,OH,Sphere,5
129,2/6/15,13:00:00,Farmington,NM,Light,
130,2/6/15,7:30:00,Banks,OR,Circle,60
131,2/6/15,7:15:00,Carrboro,NC,Disk,2
132,2/6/15,5:00:00,Frederick,MD,Formation,<1
133,2/5/15,22:45:00,Milford,NH,Triangle,3
134,2/5/15,21:30:00,Springfield,VA,Light,<1
135,2/5/15,20:15:00,Dateland,AZ,Formation,35
136,2/5/15,20:10:00,Perris,CA,Other,10
137,2/5/15,20:00:00,Martinsburg,WV,Sphere,<1
138,2/5/15,19:30:00,Buckeye,AZ,Formation,10
